,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,Era,Combined_Features
1864,Albeli Naar,1981,,6.4,0,drama,gujarati,1980_1990,drama gujarati 1980_1990
1865,Thappu,2011,,6.4,0,drama,tamil,after_2000,drama tamil after_2000
1866,Aaj Ka Gunda,2001,,4.8,22,action thriller,hindi,after_2000,action thriller hindi after_2000
1867,Aparadhi,1955,,6.4,0,drama,bengali,before_1980,drama bengali before_1980
1868,Ghar Grihasti,2004,142 min,4.1,127,drama family,hindi,after_2000,drama family hindi after_2000
1869,Amar Prithibi,1985,,6.4,0,drama,bengali,1980_1990,drama bengali 1980_1990
1870,Jowar Elo,1962,,6.4,0,drama,bengali,before_1980,drama bengali before_1980
1871,Insaaf Punjab Daa,1993,140 min,6.4,0,action,punjabi,1990_2000,action punjabi 1990_2000
1872,Raghavan,2019,17 min,6.4,0,short,malayalam,after_2000,short malayalam after_2000
1873,Artha Nadham,1989,,6.4,0,action,telugu,1980_1990,action telugu 1980_1990
1874,Me Yetoy... Chhota Pudhari,2018,113 min,6.4,0,drama,marathi,after_2000,drama marathi after_2000
1875,Ik Sandhu Hunda Si,2020,115 min,4.9,230,action drama,punjabi,after_2000,action drama punjabi after_2000
1876,Unnam,2012,141 min,3.7,65,drama,malayalam,after_2000,drama malayalam after_2000
1877,Neevu Kare Madida Chandadararu,2018,,6.4,0,thriller,kannada,after_2000,thriller kannada after_2000
1878,Tute Khwab,2019,114 min,6.4,0,comedy family musical,hindi,after_2000,comedy family musical hindi after_2000
1879,Maya 2017,2017,5 min,6.4,0,short musical,nepali,after_2000,short musical nepali after_2000
1880,Pathibeku.com,2018,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
1881,Peralagan,2004,143 min,6.4,1154,comedy drama romance,tamil,after_2000,comedy drama romance tamil after_2000
1882,Naya Bakra,1979,,5.4,12,comedy,hindi,before_1980,comedy hindi before_1980
1883,Musalmanir Galpo,2010,,6.4,0,drama,bengali,after_2000,drama bengali after_2000
1884,Pagadi Sambhaal Jatta,1992,,6.4,0,action crime drama,punjabi,1990_2000,action crime drama punjabi 1990_2000
1885,Teer Andaz,1963,,6.4,0,action,urdu,before_1980,action urdu before_1980
1886,Harishchandra Taramati,1963,,6.4,14,fantasy,hindi,before_1980,fantasy hindi before_1980
1887,Elephant Queen,1961,,6.4,0,action,hindi,before_1980,action hindi before_1980
1888,Kuselan,2008,165 min,4.7,890,comedy drama family,tamil,after_2000,comedy drama family tamil after_2000
1889,Dubai,2001,165 min,3.9,191,action thriller,malayalam,after_2000,action thriller malayalam after_2000
1890,Roop Basant,1949,,6.4,0,fantasy,hindi,before_1980,fantasy hindi before_1980
1891,Vandana,1975,,7.4,25,family,hindi,before_1980,family hindi before_1980
1892,B.A. Pass,2012,95 min,6.4,3631,crime drama thriller,hindi,after_2000,crime drama thriller hindi after_2000
1893,Prema Pilustondi,2010,,6.4,0,romance,telugu,after_2000,romance telugu after_2000
1894,Best Partner,2005,,6.4,0,thriller,hindi,after_2000,thriller hindi after_2000
1895,Oral Health Awareness for Antenatal Mothers,2021,6 min,6.4,0,documentary short,malayalam,after_2000,documentary short malayalam after_2000
1896,3 Seconds Divorce,2018,54 min,7.2,42,documentary,urdu,after_2000,documentary urdu after_2000
1897,Meeravudan Krishna,2012,120 min,6.4,0,drama,tamil,after_2000,drama tamil after_2000
1898,Gateway of India,1957,,7.2,42,comedy crime drama,urdu,before_1980,comedy crime drama urdu before_1980
1899,Shareef Budmaash,1973,,6.8,52,action crime thriller,hindi,before_1980,action crime thriller hindi before_1980
1900,Sakkathagavne,2021,,6.4,0,romance,kannada,after_2000,romance kannada after_2000
1901,Raju Gentleman,2018,135 min,6.4,0,drama,punjabi,after_2000,drama punjabi after_2000
1902,Nihattha,2014,161 min,6.4,0,drama,bhojpuri,after_2000,drama bhojpuri after_2000
1903,Char Diwari,1961,136 min,6.6,23,drama romance,hindi,before_1980,drama romance hindi before_1980
1904,Purnima,1965,120 min,6.7,40,family romance,hindi,before_1980,family romance hindi before_1980
1905,Aghari Aatma,2006,,6.4,0,horror,assamese,after_2000,horror assamese after_2000
1906,Chaalbaaz,1989,155 min,6.8,1461,action comedy drama,hindi,1980_1990,action comedy drama hindi 1980_1990
1907,Dil,1990,172 min,6.7,4970,comedy drama romance,hindi,1990_2000,comedy drama romance hindi 1990_2000
1908,Onek Dame Kena,2016,140 min,3.6,7,romance,bengali,after_2000,romance bengali after_2000
1909,Makdee,2002,90 min,7.4,1758,comedy family fantasy,hindi,after_2000,comedy family fantasy hindi after_2000
1910,Sooraiyadal,2014,,6.4,0,thriller,tamil,after_2000,thriller tamil after_2000
1911,Zed Plus,2014,141 min,6.4,438,comedy,hindi,after_2000,comedy hindi after_2000
1912,What Happened Then... !!!,2002,,6.4,0,thriller,hindi,after_2000,thriller hindi after_2000
1913,Ezhuthapurangal,1987,,6.3,13,drama,malayalam,1980_1990,drama malayalam 1980_1990
1914,Rajan,2020,,6.4,0,drama,marathi,after_2000,drama marathi after_2000
1915,Marriage Da Garriage,2014,142 min,5.2,45,comedy,punjabi,after_2000,comedy punjabi after_2000
1916,Naan Pethe Magane,1995,127 min,6.1,18,drama,tamil,1990_2000,drama tamil 1990_2000
1917,Manja,2014,110 min,5.1,11,comedy drama,malayalam,after_2000,comedy drama malayalam after_2000
1918,Nirmala Convent,2016,152 min,6.6,68,romance,telugu,after_2000,romance telugu after_2000
1919,Alakh Niranjan,1950,,6.4,0,fantasy,hindi,before_1980,fantasy hindi before_1980
1920,Selfie King,2020,119 min,7.2,43,drama,nepali,after_2000,drama nepali after_2000
1921,Swabhoomi,2013,126 min,6.4,0,biography drama news,bengali,after_2000,biography drama news bengali after_2000
1922,Prem Tapasya,1983,137 min,6.1,25,drama romance,hindi,1980_1990,drama romance hindi 1980_1990
1923,Maya Nagri,1957,,6.4,0,drama,hindi,before_1980,drama hindi before_1980
1924,Matichya Chuli,2006,132 min,6.8,112,comedy drama,marathi,after_2000,comedy drama marathi after_2000
1925,Heer,1956,,4.8,12,romance,hindi,before_1980,romance hindi before_1980
1926,Tevar,2019,100 min,7.3,24,action crime thriller,oriya,after_2000,action crime thriller oriya after_2000
1927,Laila,1994,,6.4,0,musical,punjabi,1990_2000,musical punjabi 1990_2000
1928,Bajra Vs Burger,2018,124 min,6.4,0,comedy,hindi,after_2000,comedy hindi after_2000
1929,Khoya Khoya Chand,2007,131 min,6.3,523,drama romance,punjabi,after_2000,drama romance punjabi after_2000
1930,Madhagaja,2021,,6.4,0,action,telugu,after_2000,action telugu after_2000
1931,Maa Voori Maaraju,1994,137 min,6.4,0,drama,telugu,1990_2000,drama telugu 1990_2000
1932,Sri Vaaru,1985,,6.4,0,drama,telugu,1980_1990,drama telugu 1980_1990
1933,Mission China,2017,97 min,7.0,310,action,assamese,after_2000,action assamese after_2000
1934,Pellaniki Premalekha Priyuraliki Subhalekha,1992,138 min,6.2,26,comedy,telugu,1990_2000,comedy telugu 1990_2000
1935,127 B,2017,116 min,6.6,25,comedy horror,hindi,after_2000,comedy horror hindi after_2000
1936,Avantika,2020,105 min,6.4,0,comedy horror,hindi,after_2000,comedy horror hindi after_2000
1937,Dial 100,2001,,6.4,0,crime mystery,hindi,after_2000,crime mystery hindi after_2000
1938,Vetapalem,2016,,6.4,0,crime,telugu,after_2000,crime telugu after_2000
1939,Julie Dancer,1991,,6.4,0,romance,hindi,1990_2000,romance hindi 1990_2000
1940,Chaaya,1979,,6.4,0,drama,telugu,before_1980,drama telugu before_1980
1941,Paisey,1964,,6.4,0,drama,urdu,before_1980,drama urdu before_1980
1942,Saali Poori Gharwali,2000,,6.4,0,thriller,hindi,after_2000,thriller hindi after_2000
1943,Shrimati 420,1956,128 min,6.4,0,comedy,hindi,before_1980,comedy hindi before_1980
1944,Pataliputhra,2010,,6.4,0,animation,hindi,after_2000,animation hindi after_2000
1945,Kathanam,2019,117 min,3.8,86,mystery thriller,telugu,after_2000,mystery thriller telugu after_2000
1946,Chandra,2013,117 min,5.2,61,fantasy musical romance,tamil,after_2000,fantasy musical romance tamil after_2000
1947,Karachi Stories: Not Out,2014,4 min,6.4,0,documentary short sport,urdu,after_2000,documentary short sport urdu after_2000
1948,Hum Hain Bade Miyan Chote Miyan,2002,130 min,6.4,0,romance,tamil,after_2000,romance tamil after_2000
1949,Rangeela No.1,2003,,6.4,0,action,hindi,after_2000,action hindi after_2000
1950,Adholokam,2020,,6.4,0,thriller,malayalam,after_2000,thriller malayalam after_2000
1951,Mammootty Through the Eyes Poetic Acting,2020,,6.4,0,documentary short,malayalam,after_2000,documentary short malayalam after_2000
1952,Interview,1971,101 min,7.8,180,drama,bengali,before_1980,drama bengali before_1980
1953,Kadhal Virus,2002,,5.4,50,romance,tamil,after_2000,romance tamil after_2000
1954,Ooparwala Jane,1977,,6.4,0,drama mystery,hindi,before_1980,drama mystery hindi before_1980
1955,CHHELETA,1986,91 min,6.4,0,drama,bengali,1980_1990,drama bengali 1980_1990
1956,Hasina Dacait,2001,120 min,6.4,0,action,hindi,after_2000,action hindi after_2000
1957,Kidnap,2019,130 min,5.1,212,action crime drama,punjabi,after_2000,action crime drama punjabi after_2000
1958,Divangatha Manjunathana Geleyaru,2018,123 min,8.9,50,drama,kannada,after_2000,drama kannada after_2000
1959,Even When I Fall,2017,93 min,7.7,39,documentary,nepali,after_2000,documentary nepali after_2000
1960,Operation JuJuPi,2021,,6.4,0,fantasy,tamil,after_2000,fantasy tamil after_2000
1961,Citizen,2015,,6.4,0,drama,marathi,after_2000,drama marathi after_2000
1962,Chudail,1997,98 min,5.3,9,horror,hindi,1990_2000,horror hindi 1990_2000
1963,Sell not your soul!,2016,24 min,6.4,0,short,urdu,after_2000,short urdu after_2000
1964,Apple Penne,2013,120 min,6.4,0,drama,tamil,after_2000,drama tamil after_2000
1965,Hum Bhi Insaan Hain,1948,,7.1,16,drama,hindi,before_1980,drama hindi before_1980
1966,Khuda Ghawah,1993,,2.8,24,musical,urdu,1990_2000,musical urdu 1990_2000
1967,Rashtraputra,2018,122 min,5.7,23,action biography drama,hindi,after_2000,action biography drama hindi after_2000
1968,Kizhakku Chandu Kadhavu En 108,2016,,6.4,0,drama,tamil,after_2000,drama tamil after_2000
1969,Aaj Watan Ne Humen Pukara,1968,,6.4,0,drama,hindi,before_1980,drama hindi before_1980
1970,Panileni Puli Raju,2016,,6.4,0,comedy,telugu,after_2000,comedy telugu after_2000
1971,Aina,1977,147 min,5.5,68,drama romance,urdu,before_1980,drama romance urdu before_1980
1972,Aaj Ka Samson,1991,123 min,3.2,13,action romance,hindi,1990_2000,action romance hindi 1990_2000
1973,Jungle Ki Sherni,2001,,6.0,10,action adventure drama,hindi,after_2000,action adventure drama hindi after_2000
1974,Kadal Theerathu,1988,83 min,6.4,0,drama,malayalam,1980_1990,drama malayalam 1980_1990
1975,Nenu Manishine,1971,,5.3,9,drama,telugu,before_1980,drama telugu before_1980
1976,Love by Chance,2019,,6.4,0,romance,hindi,after_2000,romance hindi after_2000
1977,Shirpa,2016,,6.4,0,drama,marathi,after_2000,drama marathi after_2000
1978,Donga Police,1992,130 min,2.9,142,action comedy drama,telugu,1990_2000,action comedy drama telugu 1990_2000
1979,Mone Mone Bhalobasha,2011,,6.4,0,drama,bengali,after_2000,drama bengali after_2000
1980,Manjil Virinja Pookkal,1980,,6.6,177,drama musical romance,malayalam,1980_1990,drama musical romance malayalam 1980_1990
1981,Sab Ka Ustad,1965,,6.4,0,action,hindi,before_1980,action hindi before_1980
1982,Kappela,2020,113 min,7.6,2300,comedy romance,malayalam,after_2000,comedy romance malayalam after_2000
1983,Raji En Kanmani,1954,,6.4,0,romance,tamil,before_1980,romance tamil before_1980
1984,Uma Maheswara Ugra Roopasya,2020,136 min,7.8,1305,drama,telugu,after_2000,drama telugu after_2000
1985,Stupid 7,2013,145 min,6.3,100,family,punjabi,after_2000,family punjabi after_2000
1986,Gandugali Kumara Rama,2006,159 min,6.4,0,drama,kannada,after_2000,drama kannada after_2000
1987,Karam Yug,2018,121 min,6.4,0,drama,bhojpuri,after_2000,drama bhojpuri after_2000
1988,Nakshathrakkannulla Rajakumaran Avanundoru Rajakumari,2002,,3.3,86,comedy drama romance,malayalam,after_2000,comedy drama romance malayalam after_2000
1989,Avale Nanna Hendthi,1988,145 min,7.1,27,comedy,kannada,1980_1990,comedy kannada 1980_1990
1990,Sandhya Deeper Sikha,1964,123 min,7.3,10,family war,bengali,before_1980,family war bengali before_1980
1991,Karmyudh,1985,130 min,4.4,15,action,hindi,1980_1990,action hindi 1980_1990
1992,Puraskar,1948,,6.4,0,drama,hindi,before_1980,drama hindi before_1980
1993,Thoovanathumbikal,1987,151 min,8.6,3638,drama romance,malayalam,1980_1990,drama romance malayalam 1980_1990
1994,Jara Brishtite Bhijechhilo,2007,118 min,8.7,47,drama,bengali,after_2000,drama bengali after_2000
1995,Amavasai Iravil,1989,112 min,4.1,8,horror,tamil,1980_1990,horror tamil 1980_1990
1996,Vamshi,2008,139 min,7.2,221,action drama,kannada,after_2000,action drama kannada after_2000
1997,Kuk Doo Koo,1985,107 min,6.4,0,comedy,hindi,1980_1990,comedy hindi 1980_1990
1998,Panchapandavar,1999,,5.0,21,action comedy,malayalam,1990_2000,action comedy malayalam 1990_2000
1999,Kal Ki Awaz,1992,162 min,6.3,63,action,hindi,1990_2000,action hindi 1990_2000
2000,Once Again,2018,101 min,7.0,836,drama romance,hindi,after_2000,drama romance hindi after_2000
2001,Bindaas Googly,2018,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
2002,Thullura Vayasu,2006,110 min,6.4,0,drama,tamil,after_2000,drama tamil after_2000
2003,Secret Pocketmaar,2021,,6.4,0,action comedy drama,hindi,after_2000,action comedy drama hindi after_2000
2004,The Stoneman Murders,2009,95 min,7.4,2684,crime drama mystery,hindi,after_2000,crime drama mystery hindi after_2000
2005,Lakshmi Narasimha,2004,171 min,6.5,370,action drama,telugu,after_2000,action drama telugu after_2000
2006,Family Katta,2016,124 min,7.5,247,family,marathi,after_2000,family marathi after_2000
2007,Dilliwaliyaan,2020,,6.4,0,drama,hindi,after_2000,drama hindi after_2000
2008,Nimmo,1984,,6.5,6,romance,punjabi,1980_1990,romance punjabi 1980_1990
2009,Preethse Preethse,2009,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
2010,Sajan,1969,147 min,7.1,62,comedy mystery romance,hindi,before_1980,comedy mystery romance hindi before_1980
2011,Father,1981,130 min,7.4,9,drama,bengali,1980_1990,drama bengali 1980_1990
2012,Sawal 700 Crore Dollar Ka,2016,130 min,5.4,317,action crime,urdu,after_2000,action crime urdu after_2000
2013,Khidki,1948,,6.4,0,comedy,hindi,before_1980,comedy hindi before_1980
2014,Ondhu Preethiya Kathe,2007,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
2015,Ee Desamlo Oka Roju,1983,129 min,6.4,0,drama,telugu,1980_1990,drama telugu 1980_1990
2016,Belli Betta,2006,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
2017,Kabir,2018,110 min,5.8,547,action thriller,bengali,after_2000,action thriller bengali after_2000
2018,Kache Dhaage,2014,135 min,6.4,0,drama,bhojpuri,after_2000,drama bhojpuri after_2000
2019,Rasmeduniya,2017,,8.0,8,drama,oriya,after_2000,drama oriya after_2000
2020,Koditta Idangalai Nirappuga,2017,126 min,6.4,42,comedy thriller,tamil,after_2000,comedy thriller tamil after_2000
2021,Raja The Great,2017,149 min,6.6,1476,action comedy,telugu,after_2000,action comedy telugu after_2000
2022,Chingari,2012,148 min,5.6,289,action thriller,kannada,after_2000,action thriller kannada after_2000
2023,Unishe April,1994,138 min,7.7,432,drama,bengali,1990_2000,drama bengali 1990_2000
2024,Maniyar Kudumbam,2018,128 min,4.3,19,drama,tamil,after_2000,drama tamil after_2000
2025,Mastani Girls,2007,101 min,6.4,0,drama,hindi,after_2000,drama hindi after_2000
2026,Justice Gopinath,1978,140 min,6.9,25,drama,tamil,before_1980,drama tamil before_1980
2027,Krantikari,1997,140 min,6.4,46,action crime drama,hindi,1990_2000,action crime drama hindi 1990_2000
2028,Love Breakups Zindagi,2011,156 min,5.8,1000,comedy drama romance,punjabi,after_2000,comedy drama romance punjabi after_2000
2029,Rangeela Raja,1960,,6.4,0,drama,hindi,before_1980,drama hindi before_1980
2030,Godmother,1999,150 min,6.7,201,crime drama thriller,hindi,1990_2000,crime drama thriller hindi 1990_2000
2031,Singham123,2015,116 min,4.8,173,action comedy,telugu,after_2000,action comedy telugu after_2000
2032,Ullam Ketkumae,2005,156 min,7.1,390,romance,tamil,after_2000,romance tamil after_2000
2033,Mamta Ki Saugandh,1994,,6.4,0,drama,hindi,1990_2000,drama hindi 1990_2000
2034,Murane Class Manja B.Com Bhagya,2008,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
2035,Karmveer,1980,,7.6,15,action,hindi,1980_1990,action hindi 1980_1990
2036,Lailaa O Lailaa,2015,168 min,3.2,363,action thriller,malayalam,after_2000,action thriller malayalam after_2000
2037,Ponmana Selvan,1989,139 min,5.7,16,action drama family,tamil,1980_1990,action drama family tamil 1980_1990
2038,Madha Gaja Raja,2013,146 min,7.7,13,action comedy,tamil,after_2000,action comedy tamil after_2000
2039,Aaj Ki Raat,1992,,6.4,0,thriller,hindi,1990_2000,thriller hindi 1990_2000
2040,Oohinchaledu Kadu,2021,,6.4,0,mystery,telugu,after_2000,mystery telugu after_2000
2041,The Naxalites,1980,141 min,6.4,17,drama,hindi,1980_1990,drama hindi 1980_1990
2042,Teerandaz,1955,,6.4,0,action adventure drama,hindi,before_1980,action adventure drama hindi before_1980
2043,Jayammu Nischayammu Raa!,1990,143 min,6.8,109,comedy romance,telugu,1990_2000,comedy romance telugu 1990_2000
2044,Dost Aur Dushman,1971,,6.4,0,action,hindi,before_1980,action hindi before_1980
2045,Kaadhal Rojave,2000,,5.0,14,romance,tamil,after_2000,romance tamil after_2000
2046,Chitta Chanchala,2017,118 min,6.4,0,drama,kannada,after_2000,drama kannada after_2000
2047,Ore Manasu,2009,,6.4,0,drama,tamil,after_2000,drama tamil after_2000
2048,Sunehray Din,1991,,9.2,169,drama,oriya,1990_2000,drama oriya 1990_2000
2049,Salasar Ke Balaji,2000,,6.4,0,drama,hindi,after_2000,drama hindi after_2000
2050,Veena Vaadanam,2008,26 min,6.4,0,short history,malayalam,after_2000,short history malayalam after_2000
2051,Pak Pak Pakaak,2005,138 min,7.3,424,adventure comedy drama,marathi,after_2000,adventure comedy drama marathi after_2000
2052,Zahir,2014,102 min,5.6,5,family,malayalam,after_2000,family malayalam after_2000
2053,Greener Pastures: Three unique farmers and one story,2021,19 min,6.4,0,documentary short,malayalam,after_2000,documentary short malayalam after_2000
2054,Annayum Rasoolum,2013,168 min,7.4,1735,romance,malayalam,after_2000,romance malayalam after_2000
2055,Baji Irshad,2016,,6.4,0,comedy drama family,urdu,after_2000,comedy drama family urdu after_2000
2056,Rajdarshan,2017,110 min,6.4,0,comedy,hindi,after_2000,comedy hindi after_2000
2057,Tansen,1970,,6.4,0,musical,bengali,before_1980,musical bengali before_1980
2058,Maram Peyyumbol,2020,,6.4,0,drama,malayalam,after_2000,drama malayalam after_2000
2059,Love U Man,2012,,6.4,0,drama,nepali,after_2000,drama nepali after_2000
2060,Haqdar,1964,,6.4,0,action drama,hindi,before_1980,action drama hindi before_1980
2061,Nenu Seethamahalaxmi,2003,120 min,6.4,0,romance,telugu,after_2000,romance telugu after_2000
2062,Johny Ustad,1984,,5.5,12,action,hindi,1980_1990,action hindi 1980_1990
2063,Mayuri,1984,142 min,6.8,110,family musical,telugu,1980_1990,family musical telugu 1980_1990
2064,Nadakantham,2018,20 min,6.4,0,short crime drama,malayalam,after_2000,short crime drama malayalam after_2000
2065,Hey Johney,1985,,6.4,0,romance,hindi,1980_1990,romance hindi 1980_1990
2066,Chinatown,2011,149 min,3.7,494,comedy,malayalam,after_2000,comedy malayalam after_2000
2067,O Tera Kya Kahna,1959,,6.4,0,comedy,hindi,before_1980,comedy hindi before_1980
2068,Baharon Ke Sapne,1967,171 min,7.5,76,drama romance,hindi,before_1980,drama romance hindi before_1980
2069,Chinnabbayi,1997,,5.1,53,drama action romance,telugu,1990_2000,drama action romance telugu 1990_2000
2070,Engiruthu Vandhan,1995,,6.4,0,drama,tamil,1990_2000,drama tamil 1990_2000
2071,Shashank,2021,,6.4,0,biography,hindi,after_2000,biography hindi after_2000
2072,Tower House,1962,,5.2,25,drama horror thriller,hindi,before_1980,drama horror thriller hindi before_1980
2073,Madam Chief Minister,2021,130 min,4.6,1035,drama,hindi,after_2000,drama hindi after_2000
2074,Gajadonga,1980,,5.6,28,action drama,telugu,1980_1990,action drama telugu 1980_1990
2075,Summer in Bethlehem,1998,143 min,7.8,1192,comedy drama,malayalam,1990_2000,comedy drama malayalam 1990_2000
2076,Why Cheat India,2019,121 min,6.0,2396,crime drama,hindi,after_2000,crime drama hindi after_2000
2077,Beauty Queen,1989,,6.4,0,drama,hindi,1980_1990,drama hindi 1980_1990
2078,Lollipops,2021,119 min,3.8,11,thriller,tamil,after_2000,thriller tamil after_2000
2079,Mazhavil Kavadi,1989,143 min,7.1,232,comedy romance,malayalam,1980_1990,comedy romance malayalam 1980_1990
2080,Sarfarosh-E-Hind,1999,,6.4,0,action,hindi,1990_2000,action hindi 1990_2000
2081,Aagam,2016,115 min,6.2,8,drama,tamil,after_2000,drama tamil after_2000
2082,Nidhiyude Katha,1986,75 min,6.4,0,fantasy,malayalam,1980_1990,fantasy malayalam 1980_1990
2083,Mumtaz,2015,,8.2,18,drama romance,kannada,after_2000,drama romance kannada after_2000
2084,Scene Onnu Nammude Veedu,2012,121 min,4.1,18,drama,malayalam,after_2000,drama malayalam after_2000
2085,Lamboo Rastoo,2018,123 min,6.6,7,drama,gujarati,after_2000,drama gujarati after_2000
2086,Pithamagan,2003,139 min,8.3,5487,action drama,tamil,after_2000,action drama tamil after_2000
2087,Engada Unga M.L.A,1992,114 min,6.4,0,drama,tamil,1990_2000,drama tamil 1990_2000
2088,Bibek,2011,38 min,6.4,0,short drama,nepali,after_2000,short drama nepali after_2000
2089,Guri,1986,146 min,8.0,40,action crime thriller,kannada,1980_1990,action crime thriller kannada 1980_1990
2090,Surjya Sandhan,2006,13 min,6.4,0,short drama,assamese,after_2000,short drama assamese after_2000
2091,Mandaladeeshudu,1987,135 min,6.4,0,drama,telugu,1980_1990,drama telugu 1980_1990
2092,Sutta Kadhai,2013,105 min,5.4,64,comedy crime,tamil,after_2000,comedy crime tamil after_2000
2093,Samarat Prithviraj Chauvan,1959,145 min,6.7,9,adventure history thriller,urdu,before_1980,adventure history thriller urdu before_1980
2094,Kireedamillatha Rajakkanmar,1996,133 min,5.1,34,comedy,malayalam,1990_2000,comedy malayalam 1990_2000
2095,Aa Dinagalu,2007,136 min,8.0,260,crime drama romance,kannada,after_2000,crime drama romance kannada after_2000
2096,Sitamgar,1985,,6.7,54,action,hindi,1980_1990,action hindi 1980_1990
2097,Ekhane Akash Neel,1973,,6.4,0,drama,bengali,before_1980,drama bengali before_1980
2098,English: An Autumn in London,2012,,5.8,137,drama,malayalam,after_2000,drama malayalam after_2000
2099,Sohra Bridge,2016,104 min,6.4,19,drama,bengali,after_2000,drama bengali after_2000
2100,Sara Varsham,1982,,6.4,0,crime drama thriller,malayalam,1980_1990,crime drama thriller malayalam 1980_1990
2101,Lahu Ke Do Rang,1979,139 min,6.1,86,action drama,hindi,before_1980,action drama hindi before_1980
2102,Madana Manjari,1980,126 min,6.4,0,drama,tamil,1980_1990,drama tamil 1980_1990
2103,Jeevan Sandhya,1984,,6.4,0,drama,hindi,1980_1990,drama hindi 1980_1990
2104,Tridhara,2018,,6.4,0,drama,bengali,after_2000,drama bengali after_2000
2105,Searching for Happiness...,2021,63 min,6.4,0,drama,bengali,after_2000,drama bengali after_2000
2106,Kaun Kitney Paani Mein,2015,112 min,6.1,454,comedy drama family,hindi,after_2000,comedy drama family hindi after_2000
2107,Mitti Dian Murtaan,1960,,6.4,0,musical,punjabi,before_1980,musical punjabi before_1980
2108,Satyamev Jayate,2002,,6.4,0,crime,marathi,after_2000,crime marathi after_2000
2109,Damned Graveyard,2021,,6.4,0,horror,hindi,after_2000,horror hindi after_2000
2110,Long Da Lishkara,1986,143 min,8.0,76,drama romance,punjabi,1980_1990,drama romance punjabi 1980_1990
2111,Qatil Chandalini,1998,101 min,6.4,0,horror,hindi,1990_2000,horror hindi 1990_2000
2112,Sumbandh,1982,,5.9,10,action drama romance,hindi,1980_1990,action drama romance hindi 1980_1990
2113,Khooni Ilaaka: The Prohibited Area,1999,87 min,5.8,20,horror,hindi,1990_2000,horror hindi 1990_2000
2114,Kireetam,2011,,6.4,0,comedy,telugu,after_2000,comedy telugu after_2000
2115,Gentleman,1989,139 min,5.0,41,comedy crime musical,hindi,1980_1990,comedy crime musical hindi 1980_1990
2116,Pyar Hua Dheere Dheere,1993,,6.4,0,romance,hindi,1990_2000,romance hindi 1990_2000
2117,Ek Hi Raasta,1977,,6.2,25,drama,hindi,before_1980,drama hindi before_1980
2118,Bhakta Kannappa,1976,148 min,7.7,32,drama family,telugu,before_1980,drama family telugu before_1980
2119,Madly in Love,2010,,6.2,49,comedy musical romance,tamil,after_2000,comedy musical romance tamil after_2000
2120,Damaru Ko Dandibiyo,2018,138 min,8.7,37,drama sport,nepali,after_2000,drama sport nepali after_2000
2121,Kodagana Koli Nungitha,2008,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
2122,Shame to Shame,1991,138 min,5.4,16,comedy,marathi,1990_2000,comedy marathi 1990_2000
2123,Gandhi Ni Golmaal,2017,130 min,4.8,11,comedy,gujarati,after_2000,comedy gujarati after_2000
2124,Colour Balloon,2014,124 min,5.7,6,drama,malayalam,after_2000,drama malayalam after_2000
2125,Adhugo,2018,110 min,5.9,57,drama,telugu,after_2000,drama telugu after_2000
2126,Nishi Trishna,1989,108 min,5.6,13,drama horror,bengali,1980_1990,drama horror bengali 1980_1990
2127,Pyar Deewana Hota Hain,1992,,6.4,0,romance,hindi,1990_2000,romance hindi 1990_2000
2128,Saathi,2017,112 min,6.4,0,drama,gujarati,after_2000,drama gujarati after_2000
2129,Sadhna,1958,137 min,7.2,65,drama,hindi,before_1980,drama hindi before_1980
2130,Do Dilon Ki Sangam,1993,,6.4,0,romance,hindi,1990_2000,romance hindi 1990_2000
2131,Onno Jibon,1995,,6.5,13,drama,bengali,1990_2000,drama bengali 1990_2000
2132,Garuda,2020,,6.4,0,drama,kannada,after_2000,drama kannada after_2000
2133,Sajid Ali Thahim,2019,,6.4,0,short adventure,urdu,after_2000,short adventure urdu after_2000
2134,Itho Enthan Deivam,1972,136 min,6.4,0,drama,tamil,before_1980,drama tamil before_1980
2135,Kalai Arasi,1963,123 min,8.1,36,comedy sci-fi,tamil,before_1980,comedy sci-fi tamil before_1980
2136,Congregation,1986,140 min,6.5,15,drama,oriya,1980_1990,drama oriya 1980_1990
2137,Jaggubhai,2010,127 min,3.7,46,action,tamil,after_2000,action tamil after_2000
2138,Maruthamalai,2007,165 min,5.3,135,action,tamil,after_2000,action tamil after_2000
2139,Nepal Snehi Kaakha,2018,,6.4,0,short,nepali,after_2000,short nepali after_2000
2140,Jessie,2016,123 min,6.4,18,drama romance,kannada,after_2000,drama romance kannada after_2000
2141,Hazaar Chaurasi Ki Maa,1998,186 min,7.2,271,drama,hindi,1990_2000,drama hindi 1990_2000
2142,Ucha Shamla Jatt Da,1984,,6.4,0,action drama family,punjabi,1980_1990,action drama family punjabi 1980_1990
2143,Woh Phir Nahin Aaye,1981,,6.4,0,drama,hindi,1980_1990,drama hindi 1980_1990
